algo,dv,dc,nv,nc,code_id,p_phys,p_mask,no_test,no_success,no_stop,p_log,p_error,p_std_dev
3500,5,6,84,70,swap3_f8b7dcce,0.001,0.1,3788,3690,98.0,0.974128827877508,0.025871172122492014,0.002579355871041723
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.11,3046,3019,27.0,0.9911359159553512,0.008864084044648779,0.0016983163477896168
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.12,3044,3003,41.0,0.9865308804204992,0.01346911957950081,0.0020893087462616968
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.13,3040,2989,51.0,0.9832236842105264,0.016776315789473584,0.002329365667691009
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.14,3034,2987,47.0,0.9845088991430456,0.015491100856954376,0.0022420390659180873
100,5,6,84,70,swap3_f8b7dcce,0.001,0.15,16816,16788,28.0,0.9983349191246432,0.0016650808753567725,0.0003144086225534715
200,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3108,3097,11.0,0.9964607464607464,0.0035392535392535507,0.0010652350064334556
300,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3106,3082,24.0,0.9922730199613652,0.007726980038634812,0.0015711576377433292
400,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3105,3077,28.0,0.9909822866344604,0.009017713365539581,0.001696486300711357
500,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3105,3075,30.0,0.9903381642512076,0.009661835748792424,0.0017554593637276609
600,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3101,3057,44.0,0.9858110287004191,0.014188971299580855,0.00212383810396518
700,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3098,3046,52.0,0.9832149774047771,0.016785022595222854,0.0023080462179073356
800,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3093,3042,51.0,0.9835111542192048,0.016488845780795236,0.002289785563357373
900,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3091,3032,59.0,0.9809123261080556,0.019087673891944434,0.0024611727429362565
1000,5,6,84,70,swap3_f8b7dcce,0.001,0.15,3089,3046,43.0,0.9860796374231144,0.013920362576885559,0.0021080082918332067
