0.002,0.1,1,15,16
0.002,0.2,1,11,16
0.002,0.3,1,10,16
0.004,0.1,1,77,89
0.004,0.2,1,72,89
0.004,0.3,1,51,89
0.006,0.1,1,121,127
0.006,0.2,1,92,127
0.006,0.3,1,90,127
0.008,0.1,1,164,182
0.008,0.2,1,146,182
0.008,0.3,0,124,182
0.01,0.1,1,239,256
0.01,0.2,1,207,256
0.01,0.3,0,185,256
0.002,0.1,1,30,32
0.002,0.2,1,25,32
0.002,0.3,1,25,32
0.004,0.1,1,36,39
0.004,0.2,1,32,39
0.004,0.3,1,28,39
0.006,0.1,1,84,91
0.006,0.2,1,73,91
0.006,0.3,1,73,91
0.008,0.1,1,148,165
0.008,0.2,1,140,165
0.008,0.3,0,114,165
0.01,0.1,1,166,181
0.01,0.2,1,146,181
0.01,0.3,1,131,181
0.002,0.1,1,23,25
0.002,0.2,1,18,25
0.002,0.3,1,16,25
0.004,0.1,1,90,95
0.004,0.2,1,75,95
0.004,0.3,1,68,95
0.006,0.1,1,99,111
0.006,0.2,1,86,111
0.006,0.3,1,73,111
0.008,0.1,1,205,235
0.008,0.2,1,191,235
0.008,0.3,1,165,235
0.01,0.1,1,179,199
0.01,0.2,1,161,199
0.01,0.3,1,142,199
0.002,0.1,1,37,40
0.002,0.2,1,32,40
0.002,0.3,1,29,40
0.004,0.1,1,49,57
0.004,0.2,1,45,57
0.004,0.3,1,41,57
0.006,0.1,1,91,95
0.006,0.2,1,77,95
0.006,0.3,1,63,95
0.008,0.1,1,115,130
0.008,0.2,1,108,130
0.008,0.3,1,93,130
0.01,0.1,1,163,180
0.01,0.2,1,149,180
0.01,0.3,1,132,180
0.002,0.1,1,51,54
0.002,0.2,1,39,54
0.002,0.3,1,37,54
0.004,0.1,1,66,73
0.004,0.2,1,62,73
0.004,0.3,1,61,73
0.006,0.1,1,142,157
0.006,0.2,0,120,157
0.006,0.3,0,115,157
0.008,0.1,1,104,114
0.008,0.2,1,90,114
0.008,0.3,1,71,114
0.01,0.1,1,169,188
0.01,0.2,1,149,188
0.01,0.3,0,124,188
0.002,0.1,1,80,87
0.002,0.2,1,69,87
0.002,0.3,1,63,87
0.004,0.1,1,107,123
0.004,0.2,1,93,123
0.004,0.3,1,88,123
0.006,0.1,1,73,81
0.006,0.2,1,62,81
